+----------+------------+
| # Epoch  | Train_loss |
+----------+------------+
| epoch 1  |   0.6993   |
| epoch 2  |   0.6802   |
| epoch 3  |   0.6590   |
| epoch 4  |   0.6601   |
| epoch 5  |   0.6409   |
| epoch 6  |   0.6402   |
| epoch 7  |   0.6266   |
| epoch 8  |   0.6275   |
| epoch 9  |   0.6074   |
| epoch 10 |   0.5920   |
| epoch 11 |   0.5935   |
| epoch 12 |   0.5803   |
| epoch 13 |   0.5829   |
| epoch 14 |   0.5678   |
| epoch 15 |   0.5761   |
| epoch 16 |   0.5768   |
| epoch 17 |   0.5604   |
| epoch 18 |   0.5626   |
| epoch 19 |   0.5575   |
| epoch 20 |   0.5501   |
| epoch 21 |   0.5470   |
| epoch 22 |   0.5553   |
| epoch 23 |   0.5482   |
| epoch 24 |   0.5327   |
| epoch 25 |   0.5380   |
| epoch 26 |   0.5236   |
| epoch 27 |   0.5251   |
| epoch 28 |   0.5256   |
| epoch 29 |   0.5310   |
| epoch 30 |   0.5295   |
| epoch 31 |   0.5214   |
| epoch 32 |   0.5186   |
| epoch 33 |   0.5163   |
| epoch 34 |   0.5091   |
| epoch 35 |   0.5003   |
| epoch 36 |   0.5163   |
| epoch 37 |   0.5045   |
| epoch 38 |   0.5008   |
| epoch 39 |   0.4951   |
| epoch 40 |   0.5014   |
| epoch 41 |   0.4961   |
| epoch 42 |   0.4887   |
| epoch 43 |   0.4954   |
| epoch 44 |   0.4926   |
| epoch 45 |   0.4745   |
| epoch 46 |   0.4782   |
| epoch 47 |   0.4813   |
| epoch 48 |   0.4803   |
| epoch 49 |   0.4708   |
| epoch 50 |   0.4816   |
| epoch 51 |   0.4849   |
| epoch 52 |   0.4804   |
| epoch 53 |   0.4754   |
| epoch 54 |   0.4785   |
| epoch 55 |   0.4692   |
| epoch 56 |   0.4644   |
| epoch 57 |   0.4695   |
| epoch 58 |   0.4709   |
| epoch 59 |   0.4513   |
| epoch 60 |   0.4603   |
| epoch 61 |   0.4589   |
| epoch 62 |   0.4511   |
| epoch 63 |   0.4467   |
| epoch 64 |   0.4599   |
| epoch 65 |   0.4416   |
| epoch 66 |   0.4474   |
| epoch 67 |   0.4424   |
| epoch 68 |   0.4340   |
| epoch 69 |   0.4174   |
| epoch 70 |   0.4187   |
+----------+------------+
